Team,Opponent Team,Date,Site,Incident,Time,VAR used,Decision,Referee,Descripcion
Godoy Cruz,Independiente,2024-04-12,Nuevo Gasómetro,Mano,11',Sí,Roja,Merlos,mano entre Godoy Cruz y Independiente al minuto 11'
Talleres,Estudiantes,2024-06-10,Libertadores de América,Gol,27',Sí,Sin falta,Dovalo,gol entre Talleres y Estudiantes al minuto 27'
Newell's,Rosario Central,2024-04-21,Nuevo Gasómetro,Mano,11',Sí,Penal,Merlos,mano entre Newell's y Rosario Central al minuto 11'
Newell's,Lanús,2024-05-06,Cilindro,Simulación,62',Sí,Tiro libre,Rapallini,simulación entre Newell's y Lanús al minuto 62'
Platense,Rosario Central,2024-12-04,Cilindro,Córner,9',Sí,Tiro libre,Pitana,córner entre Platense y Rosario Central al minuto 9'
Talleres,Arsenal,2024-01-07,Monumental,Entrada violenta,51',Sí,No gol,Espinoza,entrada violenta entre Talleres y Arsenal al minuto 51'
Rosario Central,Godoy Cruz,2024-07-25,La Bombonera,Entrada violenta,6',Sí,Gol,Espinoza,entrada violenta entre Rosario Central y Godoy Cruz al minuto 6'
Banfield,Huracán,2024-07-08,Nuevo Gasómetro,Sujeción,0',Sí,Sin falta,Abal,sujeción entre Banfield y Huracán al minuto 0'
Independiente,Lanús,2024-02-27,La Bombonera,Córner,41',Sí,Penal,Abal,córner entre Independiente y Lanús al minuto 41'
Gimnasia,Colón,2024-06-22,Monumental,Penal,65',Sí,Sin falta,Baliño,penal entre Gimnasia y Colón al minuto 65'
Colón,Independiente,2024-09-11,Nuevo Gasómetro,Entrada violenta,12',Sí,Roja,Rapallini,entrada violenta entre Colón y Independiente al minuto 12'
San Lorenzo,Gimnasia,2024-08-01,Cilindro,Offside,36',Sí,Sin falta,Espinoza,offside entre San Lorenzo y Gimnasia al minuto 36'
Rosario Central,Arsenal,2024-03-07,La Bombonera,Penal,74',Sí,Roja,Loustau,penal entre Rosario Central y Arsenal al minuto 74'
Newell's,Platense,2024-05-07,La Bombonera,Córner,71',Sí,Amarilla,Pitana,córner entre Newell's y Platense al minuto 71'
San Lorenzo,Rosario Central,2024-09-21,Libertadores de América,Codazo,4',Sí,Penal,Loustau,codazo entre San Lorenzo y Rosario Central al minuto 4'
Sarmiento,Platense,2024-11-24,Monumental,Entrada violenta,41',Sí,No gol,Loustau,entrada violenta entre Sarmiento y Platense al minuto 41'
Sarmiento,Independiente,2024-02-16,Monumental,Mano,24',Sí,Gol,Loustau,mano entre Sarmiento y Independiente al minuto 24'
San Lorenzo,Independiente,2024-08-05,La Bombonera,Sujeción,26',Sí,Amarilla,Loustau,sujeción entre San Lorenzo y Independiente al minuto 26'
San Lorenzo,Independiente,2024-04-09,Monumental,Falta,8',Sí,Roja,Pitana,falta entre San Lorenzo y Independiente al minuto 8'
Talleres,Estudiantes,2024-01-22,Monumental,Codazo,57',Sí,No gol,Baliño,codazo entre Talleres y Estudiantes al minuto 57'
Platense,Talleres,2024-12-03,Cilindro,Falta,22',Sí,Tiro libre,Baliño,falta entre Platense y Talleres al minuto 22'
Talleres,Platense,2024-06-16,Libertadores de América,Sujeción,53',Sí,Roja,Abal,sujeción entre Talleres y Platense al minuto 53'
Colón,Lanús,2024-11-27,Monumental,Simulación,19',Sí,Sin falta,Loustau,simulación entre Colón y Lanús al minuto 19'
Lanús,Newell's,2024-03-19,Monumental,Sujeción,70',Sí,Gol,Espinoza,sujeción entre Lanús y Newell's al minuto 70'
Estudiantes,Lanús,2024-05-25,Libertadores de América,Penal,80',Sí,Roja,Echenique,penal entre Estudiantes y Lanús al minuto 80'
Huracán,Rosario Central,2024-11-18,Nuevo Gasómetro,Codazo,77',Sí,No gol,Baliño,codazo entre Huracán y Rosario Central al minuto 77'
Arsenal,Lanús,2024-04-18,Monumental,Córner,41',Sí,Tiro libre,Baliño,córner entre Arsenal y Lanús al minuto 41'
Rosario Central,Platense,2024-12-27,Nuevo Gasómetro,Codazo,70',Sí,Tiro libre,Baliño,codazo entre Rosario Central y Platense al minuto 70'
Rosario Central,Sarmiento,2024-12-23,Nuevo Gasómetro,Codazo,23',Sí,Penal,Espinoza,codazo entre Rosario Central y Sarmiento al minuto 23'
Estudiantes,Independiente,2024-08-03,Monumental,Córner,17',Sí,Roja,Dovalo,córner entre Estudiantes y Independiente al minuto 17'
Newell's,Sarmiento,2024-04-19,Nuevo Gasómetro,Córner,80',Sí,Gol,Baliño,córner entre Newell's y Sarmiento al minuto 80'
Lanús,Platense,2024-10-24,Cilindro,Entrada violenta,19',Sí,Tiro libre,Pitana,entrada violenta entre Lanús y Platense al minuto 19'
San Lorenzo,Independiente,2024-03-22,Libertadores de América,Penal,13',Sí,Sin falta,Merlos,penal entre San Lorenzo y Independiente al minuto 13'
Estudiantes,Talleres,2024-03-08,Libertadores de América,Simulación,67',Sí,Penal,Echenique,simulación entre Estudiantes y Talleres al minuto 67'
Sarmiento,Huracán,2024-08-26,Libertadores de América,Penal,44',Sí,Tiro libre,Rapallini,penal entre Sarmiento y Huracán al minuto 44'
Arsenal,Huracán,2024-09-19,Libertadores de América,Entrada violenta,42',Sí,No gol,Abal,entrada violenta entre Arsenal y Huracán al minuto 42'
Argentinos,Rosario Central,2024-03-02,La Bombonera,Mano,21',Sí,Sin falta,Rapallini,mano entre Argentinos y Rosario Central al minuto 21'
Platense,Talleres,2024-09-09,Nuevo Gasómetro,Córner,5',Sí,Sin falta,Dovalo,córner entre Platense y Talleres al minuto 5'
Sarmiento,Vélez,2024-01-13,Libertadores de América,Gol,62',Sí,No gol,Pitana,gol entre Sarmiento y Vélez al minuto 62'
Newell's,Platense,2024-09-21,Monumental,Codazo,89',Sí,No gol,Baliño,codazo entre Newell's y Platense al minuto 89'
Newell's,Lanús,2024-12-05,La Bombonera,Falta,89',Sí,Penal,Echenique,falta entre Newell's y Lanús al minuto 89'
San Lorenzo,Lanús,2024-11-21,Monumental,Entrada violenta,48',Sí,Roja,Pitana,entrada violenta entre San Lorenzo y Lanús al minuto 48'
Gimnasia,Godoy Cruz,2024-08-12,Nuevo Gasómetro,Codazo,12',Sí,Gol,Merlos,codazo entre Gimnasia y Godoy Cruz al minuto 12'
Boca Juniors,Argentinos,2024-05-14,Cilindro,Simulación,36',Sí,Amarilla,Espinoza,simulación entre Boca Juniors y Argentinos al minuto 36'
Banfield,Sarmiento,2024-04-18,Monumental,Codazo,47',Sí,Sin falta,Loustau,codazo entre Banfield y Sarmiento al minuto 47'
Huracán,Estudiantes,2024-11-26,Libertadores de América,Penal,42',Sí,Roja,Dovalo,penal entre Huracán y Estudiantes al minuto 42'
Newell's,Independiente,2024-02-27,Cilindro,Offside,80',Sí,Amarilla,Loustau,offside entre Newell's y Independiente al minuto 80'
Banfield,Vélez,2024-04-06,Monumental,Falta,60',Sí,Gol,Dovalo,falta entre Banfield y Vélez al minuto 60'
San Lorenzo,Platense,2024-02-07,La Bombonera,Offside,28',Sí,Penal,Dovalo,offside entre San Lorenzo y Platense al minuto 28'
Colón,Platense,2024-08-03,Libertadores de América,Simulación,47',Sí,Sin falta,Tello,simulación entre Colón y Platense al minuto 47'
River Plate,Arsenal,2024-01-12,Monumental,Simulación,72',Sí,Tiro libre,Echenique,simulación entre River Plate y Arsenal al minuto 72'
Huracán,Vélez,2024-09-25,Nuevo Gasómetro,Simulación,64',Sí,Amarilla,Baliño,simulación entre Huracán y Vélez al minuto 64'
San Lorenzo,Platense,2024-02-11,Cilindro,Mano,89',Sí,Gol,Tello,mano entre San Lorenzo y Platense al minuto 89'
Newell's,San Lorenzo,2024-12-19,Libertadores de América,Gol,27',Sí,Sin falta,Espinoza,gol entre Newell's y San Lorenzo al minuto 27'
Lanús,Platense,2024-11-11,Nuevo Gasómetro,Entrada violenta,70',Sí,No gol,Loustau,entrada violenta entre Lanús y Platense al minuto 70'
Newell's,Independiente,2024-05-23,Libertadores de América,Gol,32',Sí,Gol,Pitana,gol entre Newell's y Independiente al minuto 32'
Independiente,River Plate,2024-04-03,La Bombonera,Simulación,32',Sí,Amarilla,Baliño,simulación entre Independiente y River Plate al minuto 32'
Talleres,Platense,2024-08-18,Nuevo Gasómetro,Codazo,75',Sí,Sin falta,Tello,codazo entre Talleres y Platense al minuto 75'
Huracán,Racing,2024-11-09,Libertadores de América,Offside,5',Sí,Gol,Echenique,offside entre Huracán y Racing al minuto 5'
Rosario Central,Lanús,2024-08-23,Monumental,Sujeción,74',Sí,Penal,Abal,sujeción entre Rosario Central y Lanús al minuto 74'
Huracán,Sarmiento,2024-07-26,Cilindro,Córner,4',Sí,Tiro libre,Pitana,córner entre Huracán y Sarmiento al minuto 4'
Godoy Cruz,Platense,2024-02-03,Monumental,Sujeción,22',Sí,Roja,Tello,sujeción entre Godoy Cruz y Platense al minuto 22'
Colón,Huracán,2024-10-19,Libertadores de América,Entrada violenta,50',Sí,Amarilla,Espinoza,entrada violenta entre Colón y Huracán al minuto 50'
Colón,Talleres,2024-04-08,Libertadores de América,Offside,40',Sí,No gol,Echenique,offside entre Colón y Talleres al minuto 40'
Racing,San Lorenzo,2024-12-18,Cilindro,Codazo,1',Sí,Roja,Tello,codazo entre Racing y San Lorenzo al minuto 1'
Godoy Cruz,Huracán,2024-05-01,Cilindro,Gol,67',Sí,Sin falta,Tello,gol entre Godoy Cruz y Huracán al minuto 67'
Banfield,Colón,2024-10-25,Monumental,Entrada violenta,23',Sí,Amarilla,Espinoza,entrada violenta entre Banfield y Colón al minuto 23'
Gimnasia,Platense,2024-10-28,Libertadores de América,Penal,67',Sí,Amarilla,Espinoza,penal entre Gimnasia y Platense al minuto 67'
Arsenal,Rosario Central,2024-10-26,Libertadores de América,Penal,49',Sí,Tiro libre,Rapallini,penal entre Arsenal y Rosario Central al minuto 49'
Boca Juniors,Independiente,2024-06-09,Libertadores de América,Offside,31',Sí,Tiro libre,Espinoza,offside entre Boca Juniors y Independiente al minuto 31'
Platense,San Lorenzo,2024-11-09,Nuevo Gasómetro,Córner,50',Sí,Tiro libre,Loustau,córner entre Platense y San Lorenzo al minuto 50'
Vélez,Argentinos,2024-05-11,Nuevo Gasómetro,Gol,80',Sí,Penal,Abal,gol entre Vélez y Argentinos al minuto 80'
Huracán,Colón,2024-12-19,La Bombonera,Sujeción,18',Sí,Sin falta,Abal,sujeción entre Huracán y Colón al minuto 18'
Newell's,Rosario Central,2024-12-14,Monumental,Codazo,80',Sí,Sin falta,Loustau,codazo entre Newell's y Rosario Central al minuto 80'
Banfield,Colón,2024-11-08,La Bombonera,Simulación,78',Sí,No gol,Espinoza,simulación entre Banfield y Colón al minuto 78'
Newell's,Estudiantes,2024-02-20,Monumental,Codazo,65',Sí,Amarilla,Merlos,codazo entre Newell's y Estudiantes al minuto 65'
Lanús,Godoy Cruz,2024-11-02,Monumental,Mano,64',Sí,Roja,Tello,mano entre Lanús y Godoy Cruz al minuto 64'
Huracán,Independiente,2024-05-07,Monumental,Codazo,12',Sí,Gol,Baliño,codazo entre Huracán y Independiente al minuto 12'
Huracán,Colón,2024-07-28,Libertadores de América,Codazo,40',Sí,Amarilla,Baliño,codazo entre Huracán y Colón al minuto 40'
Lanús,Estudiantes,2024-11-08,La Bombonera,Offside,66',Sí,Roja,Dovalo,offside entre Lanús y Estudiantes al minuto 66'
Arsenal,Vélez,2024-11-18,Libertadores de América,Codazo,50',Sí,No gol,Espinoza,codazo entre Arsenal y Vélez al minuto 50'
River Plate,Platense,2024-08-25,Monumental,Córner,47',Sí,Penal,Echenique,córner entre River Plate y Platense al minuto 47'
Racing,Lanús,2024-01-03,Monumental,Simulación,57',Sí,Tiro libre,Rapallini,simulación entre Racing y Lanús al minuto 57'
Lanús,Newell's,2024-03-07,Cilindro,Codazo,23',Sí,Roja,Abal,codazo entre Lanús y Newell's al minuto 23'
San Lorenzo,Racing,2024-10-08,Monumental,Mano,25',Sí,Sin falta,Rapallini,mano entre San Lorenzo y Racing al minuto 25'
Gimnasia,Estudiantes,2024-12-23,Libertadores de América,Penal,82',Sí,Sin falta,Echenique,penal entre Gimnasia y Estudiantes al minuto 82'
Banfield,Argentinos,2024-03-26,Cilindro,Córner,10',Sí,Amarilla,Dovalo,córner entre Banfield y Argentinos al minuto 10'
Godoy Cruz,Independiente,2024-08-09,Cilindro,Gol,11',Sí,Sin falta,Merlos,gol entre Godoy Cruz y Independiente al minuto 11'
Lanús,Godoy Cruz,2024-09-04,Cilindro,Codazo,9',Sí,Gol,Tello,codazo entre Lanús y Godoy Cruz al minuto 9'
Newell's,River Plate,2024-05-15,Nuevo Gasómetro,Penal,28',Sí,Sin falta,Echenique,penal entre Newell's y River Plate al minuto 28'
Huracán,Colón,2024-05-03,Nuevo Gasómetro,Mano,55',Sí,Sin falta,Echenique,mano entre Huracán y Colón al minuto 55'
Banfield,Independiente,2024-09-07,La Bombonera,Entrada violenta,78',Sí,Roja,Loustau,entrada violenta entre Banfield y Independiente al minuto 78'
Boca Juniors,Platense,2024-12-13,Libertadores de América,Sujeción,36',Sí,No gol,Echenique,sujeción entre Boca Juniors y Platense al minuto 36'
Racing,Rosario Central,2024-12-27,Nuevo Gasómetro,Offside,60',Sí,Sin falta,Pitana,offside entre Racing y Rosario Central al minuto 60'
Arsenal,Godoy Cruz,2024-11-06,Cilindro,Falta,77',Sí,Roja,Dovalo,falta entre Arsenal y Godoy Cruz al minuto 77'
Boca Juniors,Argentinos,2024-05-24,La Bombonera,Gol,3',Sí,Penal,Pitana,gol entre Boca Juniors y Argentinos al minuto 3'
Newell's,San Lorenzo,2024-09-19,Libertadores de América,Mano,53',Sí,Gol,Loustau,mano entre Newell's y San Lorenzo al minuto 53'
Estudiantes,Gimnasia,2024-10-15,La Bombonera,Falta,56',Sí,Amarilla,Espinoza,falta entre Estudiantes y Gimnasia al minuto 56'
Vélez,Godoy Cruz,2024-05-15,Monumental,Codazo,54',Sí,Amarilla,Baliño,codazo entre Vélez y Godoy Cruz al minuto 54'
Colón,Gimnasia,2024-11-26,Nuevo Gasómetro,Sujeción,64',Sí,No gol,Rapallini,sujeción entre Colón y Gimnasia al minuto 64'
San Lorenzo,Argentinos,2024-04-24,Libertadores de América,Falta,10',Sí,Roja,Loustau,falta entre San Lorenzo y Argentinos al minuto 10'
Newell's,Racing,2024-09-03,Monumental,Gol,24',Sí,Penal,Pitana,gol entre Newell's y Racing al minuto 24'
Platense,Huracán,2024-09-09,Nuevo Gasómetro,Simulación,84',Sí,Penal,Espinoza,simulación entre Platense y Huracán al minuto 84'
Talleres,Rosario Central,2024-09-18,Monumental,Simulación,43',Sí,Gol,Abal,simulación entre Talleres y Rosario Central al minuto 43'
River Plate,Gimnasia,2024-11-27,Monumental,Mano,47',Sí,No gol,Pitana,mano entre River Plate y Gimnasia al minuto 47'
River Plate,Newell's,2024-07-10,Cilindro,Córner,0',Sí,Sin falta,Loustau,córner entre River Plate y Newell's al minuto 0'
Sarmiento,San Lorenzo,2024-04-06,Nuevo Gasómetro,Codazo,87',Sí,Penal,Abal,codazo entre Sarmiento y San Lorenzo al minuto 87'
Colón,Sarmiento,2024-02-08,Cilindro,Mano,8',Sí,Tiro libre,Baliño,mano entre Colón y Sarmiento al minuto 8'
Boca Juniors,Arsenal,2024-08-04,La Bombonera,Sujeción,56',Sí,Amarilla,Echenique,sujeción entre Boca Juniors y Arsenal al minuto 56'
Sarmiento,Talleres,2024-12-09,Monumental,Córner,84',Sí,Gol,Merlos,córner entre Sarmiento y Talleres al minuto 84'
Newell's,Boca Juniors,2024-07-21,Cilindro,Gol,42',Sí,Amarilla,Dovalo,gol entre Newell's y Boca Juniors al minuto 42'
Lanús,Sarmiento,2024-09-28,Monumental,Mano,60',Sí,Amarilla,Loustau,mano entre Lanús y Sarmiento al minuto 60'
Rosario Central,Banfield,2024-11-15,La Bombonera,Penal,79',Sí,Penal,Rapallini,penal entre Rosario Central y Banfield al minuto 79'
Boca Juniors,River Plate,2024-01-27,La Bombonera,Córner,26',Sí,Sin falta,Loustau,córner entre Boca Juniors y River Plate al minuto 26'
Huracán,Platense,2024-07-23,Libertadores de América,Gol,8',Sí,Sin falta,Dovalo,gol entre Huracán y Platense al minuto 8'
Estudiantes,Arsenal,2024-11-24,Cilindro,Offside,19',Sí,No gol,Tello,offside entre Estudiantes y Arsenal al minuto 19'
Talleres,Racing,2024-07-09,Cilindro,Falta,62',Sí,No gol,Pitana,falta entre Talleres y Racing al minuto 62'
Boca Juniors,Arsenal,2024-12-12,Monumental,Falta,50',Sí,Penal,Espinoza,falta entre Boca Juniors y Arsenal al minuto 50'
Gimnasia,Lanús,2024-08-26,La Bombonera,Gol,3',Sí,Penal,Rapallini,gol entre Gimnasia y Lanús al minuto 3'
San Lorenzo,Racing,2024-03-21,Libertadores de América,Simulación,33',Sí,Sin falta,Echenique,simulación entre San Lorenzo y Racing al minuto 33'
Arsenal,Argentinos,2024-05-15,Libertadores de América,Sujeción,90',Sí,Gol,Echenique,sujeción entre Arsenal y Argentinos al minuto 90'
Racing,Platense,2024-09-25,Monumental,Falta,69',Sí,Gol,Abal,falta entre Racing y Platense al minuto 69'
Banfield,Gimnasia,2024-05-24,Libertadores de América,Córner,89',Sí,Penal,Pitana,córner entre Banfield y Gimnasia al minuto 89'
Gimnasia,Godoy Cruz,2024-05-07,Nuevo Gasómetro,Mano,24',Sí,Amarilla,Baliño,mano entre Gimnasia y Godoy Cruz al minuto 24'
Vélez,Estudiantes,2024-09-24,Monumental,Córner,66',Sí,Sin falta,Echenique,córner entre Vélez y Estudiantes al minuto 66'
Gimnasia,Estudiantes,2024-06-19,Nuevo Gasómetro,Offside,42',Sí,No gol,Baliño,offside entre Gimnasia y Estudiantes al minuto 42'
Racing,Gimnasia,2024-12-22,Libertadores de América,Córner,5',Sí,Tiro libre,Merlos,córner entre Racing y Gimnasia al minuto 5'
Godoy Cruz,Independiente,2024-01-16,Monumental,Sujeción,76',Sí,Penal,Pitana,sujeción entre Godoy Cruz y Independiente al minuto 76'
Independiente,Racing,2024-09-03,Cilindro,Gol,90',Sí,No gol,Echenique,gol entre Independiente y Racing al minuto 90'
Huracán,Gimnasia,2024-07-03,Monumental,Simulación,10',Sí,Amarilla,Pitana,simulación entre Huracán y Gimnasia al minuto 10'
Argentinos,Gimnasia,2024-09-05,Monumental,Simulación,61',Sí,Tiro libre,Tello,simulación entre Argentinos y Gimnasia al minuto 61'
Platense,Colón,2024-06-11,Monumental,Penal,21',Sí,Roja,Echenique,penal entre Platense y Colón al minuto 21'
Newell's,Colón,2024-03-01,Nuevo Gasómetro,Offside,60',Sí,Amarilla,Echenique,offside entre Newell's y Colón al minuto 60'
Independiente,San Lorenzo,2024-03-21,Monumental,Falta,4',Sí,Amarilla,Dovalo,falta entre Independiente y San Lorenzo al minuto 4'
River Plate,Independiente,2024-01-07,Monumental,Codazo,71',Sí,Penal,Loustau,codazo entre River Plate y Independiente al minuto 71'
Talleres,Vélez,2024-12-21,Monumental,Falta,83',Sí,No gol,Loustau,falta entre Talleres y Vélez al minuto 83'
Sarmiento,Rosario Central,2024-03-21,Libertadores de América,Offside,48',Sí,Tiro libre,Dovalo,offside entre Sarmiento y Rosario Central al minuto 48'
Banfield,Argentinos,2024-08-06,Cilindro,Codazo,54',Sí,Sin falta,Merlos,codazo entre Banfield y Argentinos al minuto 54'
San Lorenzo,Banfield,2024-08-16,La Bombonera,Mano,5',Sí,Roja,Abal,mano entre San Lorenzo y Banfield al minuto 5'
Talleres,Platense,2024-07-19,Nuevo Gasómetro,Entrada violenta,17',Sí,Sin falta,Espinoza,entrada violenta entre Talleres y Platense al minuto 17'
Platense,Estudiantes,2024-06-12,Cilindro,Córner,64',Sí,Amarilla,Espinoza,córner entre Platense y Estudiantes al minuto 64'
Platense,Arsenal,2024-01-16,Cilindro,Penal,58',Sí,Gol,Pitana,penal entre Platense y Arsenal al minuto 58'
Platense,Racing,2024-06-09,Nuevo Gasómetro,Gol,67',Sí,Gol,Loustau,gol entre Platense y Racing al minuto 67'
Talleres,Racing,2024-06-01,Libertadores de América,Gol,25',Sí,No gol,Abal,gol entre Talleres y Racing al minuto 25'
Racing,Colón,2024-02-08,Cilindro,Córner,76',Sí,Gol,Echenique,córner entre Racing y Colón al minuto 76'
San Lorenzo,Huracán,2024-12-19,Cilindro,Córner,44',Sí,Penal,Echenique,córner entre San Lorenzo y Huracán al minuto 44'
Rosario Central,Godoy Cruz,2024-11-04,Nuevo Gasómetro,Córner,40',Sí,Amarilla,Pitana,córner entre Rosario Central y Godoy Cruz al minuto 40'
Arsenal,Gimnasia,2024-05-22,Nuevo Gasómetro,Codazo,36',Sí,Gol,Dovalo,codazo entre Arsenal y Gimnasia al minuto 36'
Banfield,Sarmiento,2024-12-26,Libertadores de América,Córner,69',Sí,Penal,Espinoza,córner entre Banfield y Sarmiento al minuto 69'
Arsenal,Rosario Central,2024-11-02,Cilindro,Falta,56',Sí,Penal,Espinoza,falta entre Arsenal y Rosario Central al minuto 56'
Newell's,Gimnasia,2024-08-05,Monumental,Sujeción,44',Sí,Sin falta,Espinoza,sujeción entre Newell's y Gimnasia al minuto 44'
Boca Juniors,Newell's,2024-11-17,Cilindro,Entrada violenta,42',Sí,Amarilla,Espinoza,entrada violenta entre Boca Juniors y Newell's al minuto 42'
Platense,Colón,2024-09-17,La Bombonera,Falta,74',Sí,Sin falta,Merlos,falta entre Platense y Colón al minuto 74'
River Plate,Vélez,2024-01-03,Cilindro,Falta,13',Sí,No gol,Rapallini,falta entre River Plate y Vélez al minuto 13'
Godoy Cruz,Vélez,2024-12-14,Cilindro,Sujeción,30',Sí,Amarilla,Tello,sujeción entre Godoy Cruz y Vélez al minuto 30'
Argentinos,Huracán,2024-12-17,Libertadores de América,Córner,41',Sí,Roja,Loustau,córner entre Argentinos y Huracán al minuto 41'
Godoy Cruz,Platense,2024-07-18,Monumental,Offside,14',Sí,Sin falta,Tello,offside entre Godoy Cruz y Platense al minuto 14'
Independiente,Talleres,2024-08-17,Cilindro,Penal,57',Sí,Amarilla,Echenique,penal entre Independiente y Talleres al minuto 57'
Platense,Gimnasia,2024-02-24,Monumental,Penal,60',Sí,Gol,Baliño,penal entre Platense y Gimnasia al minuto 60'
River Plate,Sarmiento,2024-02-13,La Bombonera,Simulación,59',Sí,No gol,Espinoza,simulación entre River Plate y Sarmiento al minuto 59'
Racing,San Lorenzo,2024-02-11,Nuevo Gasómetro,Mano,59',Sí,Tiro libre,Pitana,mano entre Racing y San Lorenzo al minuto 59'
Newell's,River Plate,2024-02-12,Monumental,Gol,15',Sí,Roja,Tello,gol entre Newell's y River Plate al minuto 15'
Argentinos,San Lorenzo,2024-07-28,Monumental,Mano,49',Sí,Roja,Pitana,mano entre Argentinos y San Lorenzo al minuto 49'
Banfield,Estudiantes,2024-03-21,La Bombonera,Gol,53',Sí,Penal,Loustau,gol entre Banfield y Estudiantes al minuto 53'
Estudiantes,Vélez,2024-08-03,Monumental,Penal,48',Sí,Penal,Pitana,penal entre Estudiantes y Vélez al minuto 48'
Boca Juniors,Godoy Cruz,2024-11-10,Nuevo Gasómetro,Falta,42',Sí,Amarilla,Echenique,falta entre Boca Juniors y Godoy Cruz al minuto 42'
Platense,Sarmiento,2024-06-01,La Bombonera,Sujeción,60',Sí,Gol,Pitana,sujeción entre Platense y Sarmiento al minuto 60'
Newell's,Sarmiento,2024-08-20,Nuevo Gasómetro,Mano,60',Sí,Tiro libre,Rapallini,mano entre Newell's y Sarmiento al minuto 60'
Argentinos,Talleres,2024-11-21,Monumental,Penal,30',Sí,No gol,Loustau,penal entre Argentinos y Talleres al minuto 30'
Huracán,Sarmiento,2024-03-15,Monumental,Simulación,42',Sí,Sin falta,Echenique,simulación entre Huracán y Sarmiento al minuto 42'
Estudiantes,Newell's,2024-07-19,Libertadores de América,Mano,71',Sí,Sin falta,Dovalo,mano entre Estudiantes y Newell's al minuto 71'
Independiente,Estudiantes,2024-06-28,Libertadores de América,Offside,70',Sí,Roja,Tello,offside entre Independiente y Estudiantes al minuto 70'
Huracán,Newell's,2024-07-11,La Bombonera,Simulación,65',Sí,Tiro libre,Abal,simulación entre Huracán y Newell's al minuto 65'
Newell's,Vélez,2024-04-13,Monumental,Córner,81',Sí,Gol,Espinoza,córner entre Newell's y Vélez al minuto 81'
Colón,Platense,2024-12-18,Nuevo Gasómetro,Offside,82',Sí,Penal,Abal,offside entre Colón y Platense al minuto 82'
Newell's,Vélez,2024-11-06,Monumental,Simulación,3',Sí,Amarilla,Merlos,simulación entre Newell's y Vélez al minuto 3'
Independiente,San Lorenzo,2024-04-28,Cilindro,Codazo,49',Sí,Roja,Loustau,codazo entre Independiente y San Lorenzo al minuto 49'
Newell's,Racing,2024-12-06,Cilindro,Simulación,6',Sí,No gol,Echenique,simulación entre Newell's y Racing al minuto 6'
Lanús,Arsenal,2024-08-19,La Bombonera,Offside,33',Sí,Tiro libre,Pitana,offside entre Lanús y Arsenal al minuto 33'
Banfield,Colón,2024-11-20,La Bombonera,Offside,14',Sí,Sin falta,Dovalo,offside entre Banfield y Colón al minuto 14'
River Plate,Racing,2024-02-26,Monumental,Simulación,8',Sí,Tiro libre,Espinoza,simulación entre River Plate y Racing al minuto 8'
Sarmiento,Godoy Cruz,2024-11-23,Libertadores de América,Córner,88',Sí,Penal,Merlos,córner entre Sarmiento y Godoy Cruz al minuto 88'
Huracán,Racing,2024-05-03,Nuevo Gasómetro,Simulación,77',Sí,Amarilla,Echenique,simulación entre Huracán y Racing al minuto 77'
Talleres,Huracán,2024-04-27,Cilindro,Córner,80',Sí,Penal,Tello,córner entre Talleres y Huracán al minuto 80'
Colón,Rosario Central,2024-12-13,La Bombonera,Offside,80',Sí,Gol,Rapallini,offside entre Colón y Rosario Central al minuto 80'
San Lorenzo,Banfield,2024-03-28,Monumental,Córner,74',Sí,Tiro libre,Tello,córner entre San Lorenzo y Banfield al minuto 74'
Vélez,Racing,2024-10-04,Monumental,Mano,71',Sí,No gol,Abal,mano entre Vélez y Racing al minuto 71'
Lanús,Sarmiento,2024-10-21,Nuevo Gasómetro,Córner,43',Sí,Roja,Rapallini,córner entre Lanús y Sarmiento al minuto 43'
Gimnasia,Vélez,2024-01-28,Monumental,Entrada violenta,35',Sí,Tiro libre,Dovalo,entrada violenta entre Gimnasia y Vélez al minuto 35'
Independiente,Sarmiento,2024-01-02,Libertadores de América,Codazo,81',Sí,Tiro libre,Espinoza,codazo entre Independiente y Sarmiento al minuto 81'
Rosario Central,Colón,2024-02-10,Libertadores de América,Córner,70',Sí,Amarilla,Pitana,córner entre Rosario Central y Colón al minuto 70'
Newell's,Independiente,2024-02-02,Monumental,Entrada violenta,75',Sí,Tiro libre,Dovalo,entrada violenta entre Newell's y Independiente al minuto 75'
Lanús,Racing,2024-07-23,Cilindro,Gol,48',Sí,Penal,Espinoza,gol entre Lanús y Racing al minuto 48'
Independiente,Lanús,2024-07-05,Cilindro,Simulación,8',Sí,Roja,Tello,simulación entre Independiente y Lanús al minuto 8'
Banfield,Estudiantes,2024-12-16,La Bombonera,Penal,43',Sí,Tiro libre,Merlos,penal entre Banfield y Estudiantes al minuto 43'
Rosario Central,Banfield,2024-02-06,Monumental,Codazo,54',Sí,Sin falta,Dovalo,codazo entre Rosario Central y Banfield al minuto 54'
Lanús,Independiente,2024-05-09,Nuevo Gasómetro,Codazo,70',Sí,Roja,Abal,codazo entre Lanús y Independiente al minuto 70'
Talleres,Gimnasia,2024-06-20,Monumental,Mano,71',Sí,Amarilla,Dovalo,mano entre Talleres y Gimnasia al minuto 71'
Colón,Lanús,2024-02-12,Nuevo Gasómetro,Offside,85',Sí,No gol,Loustau,offside entre Colón y Lanús al minuto 85'
Lanús,Vélez,2024-10-22,Monumental,Córner,45',Sí,Sin falta,Dovalo,córner entre Lanús y Vélez al minuto 45'
